tag_id,name,category,count
721,red_bowtie,0,0
722,cropped_legs,0,0
723,antenna_hair,0,0
724,zettai_ryouiki,0,0
725,inverted_nipples,0,0
726,crying,0,0
727,white_bow,0,0
728,light_smile,0,0
729,white_border,0,0
730,side_slit,0,0
731,hair_over_shoulder,0,0
732,drinking_glass,0,0
733,holding_food,0,0
734,fishnet_pantyhose,0,0
735,denim_shorts,0,0
736,cropped_jacket,0,0
737,3boys,0,0
738,pov_hands,0,0
739,butt_crack,0,0
740,looking_up,0,0
741,arm_behind_back,0,0
742,head_wings,0,0
743,armband,0,0
744,hoop_earrings,0,0
745,capelet,0,0
746,forehead,0,0
747,heart_censor,0,0
748,close-up,0,0
749,petite,0,0
750,highleg_panties,0,0
751,head_out_of_frame,0,0
752,highleg_bikini,0,0
753,messy_hair,0,0
754,gem,0,0
755,dragon_girl,0,0
756,short_hair_with_long_locks,0,0
757,black_wings,0,0
758,out_of_frame,0,0
759,raiden_shogun,4,0
760,bikini_top_only,0,0
761,grabbing_another's_ass,0,0
762,wristband,0,0
763,headphones,0,0
764,blue_bowtie,0,0
765,dragon_horns,0,0
766,artoria_pendragon_(fate),4,0
767,obi,0,0
768,t-shirt,0,0
769,rolling_eyes,0,0
770,wolf_girl,0,0
771,licking_lips,0,0
772,nipple_piercing,0,0
773,tentacles,0,0
774,low_wings,0,0
775,hair_scrunchie,0,0
776,foot_out_of_frame,0,0
777,cow_print,0,0
778,presenting,0,0
779,orgasm,0,0
780,1other,0,0
781,bodystocking,0,0
782,pulling_own_clothes,0,0
783,one_breast_out,0,0
784,monster_girl,0,0
785,hand_on_another's_head,0,0
786,gangbang,0,0
787,goggles,0,0
788,headgear,0,0
789,umbrella,0,0
790,nipple_tweak,0,0
791,backless_outfit,0,0
792,white_hat,0,0
793,red_halo,0,0
794,eyepatch,0,0
795,white_ribbon,0,0
796,holding_sword,0,0
797,blue_panties,0,0
798,kono_subarashii_sekai_ni_shukufuku_wo!,0,0
799,side_braid,0,0
800,:p,0,0
801,cuffs,0,0
802,crown,0,0
803,plant,0,0
804,pov_crotch,0,0
805,interlocked_fingers,0,0
806,princess_connect!,0,0
807,white_hairband,0,0
808,arched_back,0,0
809,contrapposto,0,0
810,bulge,0,0
811,condom_wrapper,0,0
812,hand_in_own_hair,0,0
813,baseball_cap,0,0
814,indie_virtual_youtuber,0,0
815,between_legs,0,0
816,public_indecency,0,0
